"delta_pct","delta_pct_lwr","delta_pct_upr","delta_isk","delta_isk_lwr","delta_isk_upr"
4.96341056067997,-37.1838371611033,75.3898528438573,476.811606208501,-4462.3193276878,5797.48575174609
4.96341056067997,-34.7327752341746,68.8032177874775,390.771328348951,-3373.43967304889,4390.96796965725
4.96341056067997,-35.0180866730065,69.5443700016952,433.739448721604,-3808.55231013449,4883.05831763178
4.96341056067979,-32.7240364304377,63.763058482813,346.21793144861,-2821.0296513164,3598.87755304831
4.74566377906016,-35.7885162610115,70.8674748136063,341.543367887652,-3205.30639563211,4098.44284079837
4.96341056067962,-34.0789293217532,67.1289231678906,267.239291018808,-2261.85445520051,2932.0487556809
4.96341056067979,-34.4785969068895,68.1483765064287,428.690112052971,-3684.79338757265,4756.8393984701
4.96341056067977,-34.646124343523,68.5794062840393,426.319321116835,-3696.70026445507,4741.80589862017
4.96341056067979,-34.3941021524337,67.931815857902,277.532785992924,-2379.98089025312,3069.38891522236
4.11658077939783,-36.5259837643991,70.7826766933467,264.188323848322,-2913.46333015023,3654.88151333575
4.96341056067979,-38.3709286382896,78.7681902890847,422.364370812755,-4106.02434082305,5330.22826782638
4.96341056067979,-32.6221354049007,63.5153862880237,375.314675578938,-3079.20122918315,3847.54714953008
4.89979504099816,-38.5053449967869,78.9418446053313,177.539407386512,-1772.61782712917,2251.37003035336
4.96341056067977,-32.7047894164915,63.7162208276045,404.216534297105,-3305.98779880219,4180.49652672126
3.3858148447939,-36.320516605245,67.850399238672,221.73059805443,-2979.01076518219,3547.78423140185
4.96341056067979,-35.4899408152738,70.7844899813448,243.226994950816,-2180.88998684239,2766.13117503718
4.75697945303069,-35.5580405058775,70.2931572886698,396.683849616444,-3705.4018366468,4690.7473908627
4.96341056067988,-34.1212665343171,67.2363291906471,110.027497535185,-958.903635608678,1175.69925485133
4.54095321129926,-36.2260483163574,71.3679427070883,159.454312374718,-1596.75008122997,1996.48327684622
3.53088692839214,-35.8066280385447,66.9743186978166,191.678341243615,-2436.72244635765,2900.30806236564
4.96341056067979,-37.0129111935518,74.9139032347521,530.92008953498,-5011.93843367333,6330.06049455363
4.53283009623326,-34.8964200954747,67.8419617469982,167.264530164884,-1603.79823860078,2010.0107051014
4.33714920077817,-36.1585243435583,70.5198789879008,152.393195233206,-1587.73464685245,1982.74452801172
4.96341056067977,-35.5717973370589,71.0014729755444,285.366007396623,-2557.16559244849,3264.813614827
4.96341056067997,-33.763608115428,66.3332987057838,256.623817981726,-2169.35819683231,2759.8323558082
3.0042744503459,-38.9140222450251,73.6876603268925,64.9915454730203,-1070.09552255641,1254.04425636323
